position,image,player,gamesplayed,minutes,points,assists,pointsperminute
1.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/lebron_james.png,LeBron James,"1,413","53,833","38,450","10,371",0.71
2.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/kareem%20abdul-jabbar.png,Kareem Abdul-Jabbar,"1,560","57,446","38,387","5,660",0.66
3.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/karl_malone.png,Karl Malone,"1,476","54,852","36,928","5,248",0.67
4.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/kobe_bryant.png,Kobe Bryant,"1,346","48,643","33,643","6,306",0.69
5.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/michael_jordan.png,Michael Jordan,"1,072","41,010","32,292","5,633",0.78
6.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/dirk_nowitzki.png,Dirk Nowitzki,"1,522","51,367","31,560","3,651",0.61
7.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/wilt_chamberlain.png,Wilt Chamberlain,"1,045","47,859","31,419","4,643",0.65
8.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/Shaquille%20O'Neal.png,Shaquille O'Neal,"1,207","41,917","28,596","3,026",0.68
9.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/carmelo%20anthony.png,Carmelo Anthony,"1,260","43,513","28,289","3,422",0.65
10.,https://raw.githubusercontent.com/TimileyinSamuel/NBA_ALL_TIME_SCORERS/main/Players/Moses_Malone.png,Moses Malone,"1,329","45,071","27,409","1,796",0.61
